Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Quantity	Quantity Mean	Quantity SD	RQ	RQ Min	RQ Max	CT	Ct Mean	Ct SD	Delta Ct	Delta Ct Mean	Delta Ct SE	Delta Delta Ct	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	NOAMP	THOLDFAIL		
1	A1	FALSO	8505 ut	ACTB	UNKNOWN	SYBR	None							17.318	17.318						VERO	0.096	VERO	1	40		82.534			N	N	N	N		
2	A2	FALSO	8505 ut	CCL15	UNKNOWN	SYBR	None							38.297	38.297						VERO	0.04	VERO	1	40		74.384			N	N	N	Y		
3	A3	FALSO	8505 ut	CCL26	UNKNOWN	SYBR	None							30.361	30.361						VERO	0.104	VERO	1	40		83.191			N	N	N	N		
4	A4	FALSO	8505 ut	CCR3	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
5	A5	FALSO	8505 ut	CSF3	UNKNOWN	SYBR	None							27.941	27.941						VERO	0.131	VERO	1	40		71.887			N	N	N	N		
6	A6	FALSO	8505 ut	CXCL2	UNKNOWN	SYBR	None							24.732	24.732						VERO	0.153	VERO	1	40		73.99			N	N	N	N		
7	A7	FALSO	8505 ut	GUSB	UNKNOWN	SYBR	None							22.718	22.718						VERO	0.133	VERO	1	40		80.694			N	N	N	N		
8	A8	FALSO	8505 ut	IL17A	UNKNOWN	SYBR	None							38.176	38.176						VERO	0.04	VERO	1	40		71.492			N	N	N	Y		
9	A9	FALSO	8505 ut	IL27	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.108			N	Y	Y	Y		
10	A10	FALSO	8505 ut	IL9R	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.629			N	Y	Y	Y		
11	A11	FALSO	8505 ut	TNF	UNKNOWN	SYBR	None							27.379	27.379						VERO	0.131	VERO	1	40		85.557			N	N	N	N		
12	A12	FALSO	8505 ut	TBP	UNKNOWN	SYBR	None							22.815	22.815						VERO	0.137	VERO	1	40		82.928			N	N	N	N		
13	A13	FALSO	8505 overgal3	ACTB	UNKNOWN	SYBR	None							22.335	22.335						VERO	0.096	VERO	1	40		82.402			N	N	N	N		
14	A14	FALSO	8505 overgal3	CCL15	UNKNOWN	SYBR	None							37.007	37.007						VERO	0.04	VERO	1	40		74.253			N	N	N	Y		
15	A15	FALSO	8505 overgal3	CCL26	UNKNOWN	SYBR	None							33.011	33.011						VERO	0.104	VERO	1	40		82.928			N	N	N	N		
16	A16	FALSO	8505 overgal3	CCR3	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.497			N	Y	Y	Y		
17	A17	FALSO	8505 overgal3	CSF3	UNKNOWN	SYBR	None							Undetermined							VERO	0.131	VERO	1	40		66.234			N	Y	Y	N		
18	A18	FALSO	8505 overgal3	CXCL2	UNKNOWN	SYBR	None							28.893	28.893						VERO	0.153	VERO	1	40		73.727			N	N	N	N		
